ENTRYID,ENTRYTYPE,ENTRYNAME,TOTALRUN,TOTALWINS,PRE95ENTRYID
1128734,Jockey,"Bradley Furniss",36,3,
1130866,Jockey,"Miss Georgia King",51,3,
1133199,Jockey,"Miss Jessica Llewellyn",50,3,
1153938,Jockey,"Jack Wildman",38,3,
1155169,Jockey,"Sophie Clements",42,3,
1170788,Jockey,"Conor Rabbitt",33,3,
741600,Jockey,"Mr Joseph Stevenson",119,2,
936724,Jockey,"Mr David O'Brien",9,2,
949536,Jockey,"Mr Benjamin Brackenbury",20,2,
994624,Jockey,"Mr Matthew Johnson",30,2,
1027525,Jockey,"Miss Rosie Margarson",18,2,
1039398,Jockey,"Mr Christopher Furness",9,2,
1041276,Jockey,"Mr Jack Teal",27,2,
1044250,Jockey,"Mr Matt Brown",29,2,
1061173,Jockey,"Mr Archie Wright",14,2,
1074034,Jockey,"Miss Lily Bradstock",20,2,
1082144,Jockey,"Miss Eleanor Williams",35,2,
1097892,Jockey,"Mr Charlie Case",25,2,
1099059,Jockey,"Alice Bond",40,2,
1114626,Jockey,"Mr Oscar Palmer",9,2,
1119586,Jockey,"Mr Adam O'Shea",14,2,
1123870,Jockey,"Patrick Wadge",61,2,
1142730,Jockey,"Miss Katie Powell",10,2,
1142842,Jockey,"Dylan Johnston",28,2,
1143759,Jockey,"Daire Davis",21,2,
1167090,Jockey,"Miss Molly Landau",8,2,
620362,Jockey,"Mr Guy Mitchell",18,1,
986309,Jockey,"Mr James Jeavons",35,1,
1012225,Jockey,"Miss Megan Trainor",20,1,
1067177,Jockey,"Miss Sophie Dods",20,1,
1073441,Jockey,"Mr Charlie Marshall",11,1,
1075891,Jockey,"Emma Taff",79,1,
1084457,Jockey,"Mr Fletcher Yarham",14,1,
1086385,Jockey,"Mr Daniel Cherriman",6,1,
1089548,Jockey,"Miss Alexandra Bell",29,1,
1093025,Jockey,"Mr Peter Summers",12,1,
1100321,Jockey,"Miss Rosie Howarth",18,1,
1102259,Jockey,"Mr William Thirlby",6,1,
1105103,Jockey,"Molly Gunn",37,1,
1111727,Jockey,"Kai Lenihan",46,1,
1114388,Jockey,"Lorenzo Atzori",50,1,
1114850,Jockey,"Mr James Turner",8,1,
1116136,Jockey,"Abbie Pierce",11,1,
1121012,Jockey,"Joe Bradnam",59,1,
1126561,Jockey,"Miss Alex Garven",22,1,
1127791,Jockey,"Marie Perrault",16,1,
1133657,Jockey,"Mr Charlie Sprake",7,1,
1134525,Jockey,"Oliver Timms",29,1,
1135357,Jockey,"Miss Amber Jackson-Fennell",5,1,
1135750,Jockey,"Miss Katie Webb",10,1,
1136803,Jockey,"Miss Violet Barton",15,1,
1138514,Jockey,"Deon Le Roux",22,1,
1139626,Jockey,"Mr Josh Agar",7,1,
1140493,Jockey,"Miss Pippa Brown",15,1,
1151527,Jockey,"Mr Daniel Kyne",7,1,
1153270,Jockey,"Miss Taryn Langley",12,1,
1153718,Jockey,"Mr Lewis Kent",17,1,
1157181,Jockey,"Miss Megan Bevan",5,1,
1165432,Jockey,"Gearoid Harney",19,1,
540649,Jockey,"Mr Michael Robinson",13,0,
736571,Jockey,"Mr Hakan Sensoy",15,0,
853726,Jockey,"Mr James Waggott",14,0,
896813,Jockey,"Mr Fraser Barr",4,0,
1009638,Jockey,"Mr Mark Robinson",3,0,
1026198,Jockey,"Mr Andrew McBride",9,0,
1041024,Jockey,"Miss Lauren Sanders",11,0,
1041359,Jockey,"Miss Charlotte Dun",17,0,
1045530,Jockey,"Mrs Amy Cox",9,0,
1056752,Jockey,"Miss Jodie Wingrove",10,0,
1065062,Jockey,"Miss Meisha Micklewright",1,0,
1067182,Jockey,"Miss Chloe Dods",24,0,
1073981,Jockey,"Miss Kate Gowing",3,0,
1083318,Jockey,"Jacob Clark",45,0,
1088905,Jockey,"Miss Megan McLoughlin",5,0,
1097617,Jockey,"Miss Kerryanne Alexander",10,0,
1099384,Jockey,"Shariq Mohd",48,0,
1105923,Jockey,"Miss Heidi Stevens",9,0,
1106066,Jockey,"Mr Huw Edwards",24,0,
1106457,Jockey,"Miss Katie Sinclair",4,0,
1107033,Jockey,"Paige Hopper",19,0,
1108819,Jockey,"Robert Law-Eadie",12,0,
1109434,Jockey,"Miss Ailsa McClung",20,0,
1109867,Jockey,"Mr Edward Rees",15,0,
1109994,Jockey,"Minty Bloss",7,0,
1110285,Jockey,"Miss Anna Johnston",6,0,
1110458,Jockey,"Miss Megan Fox",6,0,
1111818,Jockey,"Miss Lucy Brown",3,0,
1112077,Jockey,"Mr Ben Sutton",5,0,
1112639,Jockey,"Mr Jack Holliday",4,0,
1112754,Jockey,"Miss Megan Brookes",14,0,
1113747,Jockey,"Miss Zoe Lewis",3,0,
1114810,Jockey,"Mr Harry Myddelton",8,0,
1115034,Jockey,"Miss Molly Legg",4,0,
1116264,Jockey,"Mr Henry Bailey",2,0,
1116342,Jockey,"Mr Noah Brazg-Carrell",1,0,
1119931,Jockey,"Miss Philippa Atkinson",7,0,
1122991,Jockey,"Sophie Reed",28,0,
1124380,Jockey,"Mr Murray Dodd",4,0,
1125025,Jockey,"Mr George Daly",4,0,
1125921,Jockey,"Mr Nathan Rahman",17,0,
1128040,Jockey,"Mr Bailey Burns-Lewis",2,0,
1129670,Jockey,"Miss Ellie Mayo",2,0,
1130238,Jockey,"Muhammad Adeel",12,0,
1135330,Jockey,"Mr Jack Cater",2,0,
1136678,Jockey,"Miss Natalya Irvine",4,0,
1136688,Jockey,"Miss Jess Stewart",5,0,
1137926,Jockey,"Mr Paddy Barlow",26,0,
1138407,Jockey,"Mr Toby McCain-Mitchell",11,0,
1138482,Jockey,"Mr Kevin Skelton",3,0,
1138542,Jockey,"Miss Ella Herbison",6,0,
1147412,Jockey,"Mr James Robottom",20,0,
1149004,Jockey,"Miss Taylor Bradburn",2,0,
1149360,Jockey,"Mr Joshua Thompson",21,0,
1151296,Jockey,"Miss Charlotte Butler",1,0,
1152827,Jockey,"Mr Harry Atkins",3,0,
1155497,Jockey,"Miss Roisin Leech",22,0,
1155592,Jockey,"Mr Harry Greasby",2,0,
1156068,Jockey,"Mr Daniel Ellis",5,0,
1156316,Jockey,"Mr J. J. Murphy-Knight",3,0,
1156367,Jockey,"Mr Charlie Boddy",2,0,
1156456,Jockey,"Miss Isabelle Ryder",9,0,
1156471,Jockey,"Mr William Featherstone",4,0,
1156581,Jockey,"Miss Ellie Holder",1,0,
1156692,Jockey,"Mrs Stephanie Germany",3,0,
1157262,Jockey,"Mr Joe Leavy",14,0,
1158066,Jockey,"Mr Vinnie Jakes",6,0,
1159562,Jockey,"Mr Lewis Saunders",7,0,
1173914,Jockey,"Miss Amy Corrado",4,0,
